_id,url,category,price,scraped_from,status,title
68bdd5afc6bcae1a3cbeb3ad,https://www.startech.com.bd/microsoft-365-business-standard,cloud-solution,"14,800৳",https://www.startech.com.bd/cloud-solution,N/A,Microsoft 365 Business Standard (1 Year Subscription)
68bdd5afc6bcae1a3cbeb3ae,https://www.startech.com.bd/microsoft-365-apps-for-enterprise,cloud-solution,"15,080৳",https://www.startech.com.bd/cloud-solution,N/A,Microsoft 365 Apps for Enterprise (1 Year Subscription)
68bdd5b0c6bcae1a3cbeb3af,https://www.startech.com.bd/ms-office-365-business-premium,cloud-solution,"31,365৳",https://www.startech.com.bd/cloud-solution,N/A,Microsoft 365 Business Premium (1 Year Subscription)
68bdd5b0c6bcae1a3cbeb3b0,https://www.startech.com.bd/microsoft-office-365-enterprise-e3,cloud-solution,"32,325৳",https://www.startech.com.bd/cloud-solution,N/A,Office 365 Enterprise E3 (1 Year Subscription)
68bdd5b0c6bcae1a3cbeb3b1,https://www.startech.com.bd/microsoft-365-enterprise-e3,cloud-solution,"45,620৳",https://www.startech.com.bd/cloud-solution,N/A,Microsoft 365 Enterprise E3 (1 Year Subscription)
68bdd5b0c6bcae1a3cbeb3b2,https://www.startech.com.bd/microsoft-office-365-enterprise-e5,cloud-solution,"52,500৳",https://www.startech.com.bd/cloud-solution,N/A,Office 365 Enterprise E5 (1 Year Subscription)
68bdd5b0c6bcae1a3cbeb3b3,https://www.startech.com.bd/microsoft-365-enterprise-e5,cloud-solution,"72,230৳",https://www.startech.com.bd/cloud-solution,N/A,Microsoft 365 Enterprise E5 (1 Year Subscription)
68bdd5b0c6bcae1a3cbeb3b4,https://www.startech.com.bd/cmx-du-50-pa-100v-driver-unit,cmx-conference-system,"4,680৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX DU-50 PA 100V Driver Unit (15W-30W-50W)
68bdd5b0c6bcae1a3cbeb3b5,https://www.startech.com.bd/cmx-cs-702-conference-system-delegate-unit,cmx-conference-system,"8,160৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX CS-702 Conference System Delegate Unit
68bdd5b0c6bcae1a3cbeb3b6,https://www.startech.com.bd/cmx-cs-701-conference-system-chairman-unit,cmx-conference-system,"8,760৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX CS-701 Conference System Chairman Unit
68bdd5b0c6bcae1a3cbeb3b7,https://www.startech.com.bd/cmx-ea-30-30w-pa-amplifier,cmx-conference-system,"16,920৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX EA-30 30W PA Amplifier with USB/SD & FM & Bluetooth
68bdd5b0c6bcae1a3cbeb3b8,https://www.startech.com.bd/cmx-ea-60-60w-pa-amplifier,cmx-conference-system,"21,960৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX EA-60 60W PA Amplifier with USB/SD & FM & Bluetooth
68bdd5b0c6bcae1a3cbeb3b9,https://www.startech.com.bd/cmx-ea-120-120w-pa-amplifier,cmx-conference-system,"23,880৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX EA-120 120W PA Amplifier with USB/SD & FM & Bluetooth
68bdd5b1c6bcae1a3cbeb3ba,https://www.startech.com.bd/cmx-cs-700-conference-system-amplifier-controller,cmx-conference-system,"27,600৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX CS-700 Conference System Amplifier Controller
68bdd5b1c6bcae1a3cbeb3bb,https://www.startech.com.bd/cmx-ea-240a-240w-pa-amplifier,cmx-conference-system,"36,600৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX EA-240A 240W PA Amplifier with USB/SD & FM & Bluetooth
68bdd5b1c6bcae1a3cbeb3bc,https://www.startech.com.bd/cmx-ts-12-portable-pa-system-and-trolley-speaker,pa-system,"40,800৳",https://www.startech.com.bd/pa-system,N/A,CMX TS-12 180W Portable PA System (1 Hand + 1 Head Mic)
68bdd5b1c6bcae1a3cbeb3bd,https://www.startech.com.bd/cmx-ea-350a-350w-pa-amplifier,cmx-conference-system,"43,920৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX EA-350A 350W PA Amplifier with USB/SD & FM & Bluetooth
68bdd5b1c6bcae1a3cbeb3be,https://www.startech.com.bd/cmx-ea-500a-mixer-amplifier,cmx-conference-system,"46,080৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX EA-500A USB/SD & FM & Bluetooth Mixer Amplifier
68bdd5b1c6bcae1a3cbeb3bf,https://www.startech.com.bd/cmx-uhf-300bc-battery-charger,cmx-conference-system,"82,500৳",https://www.startech.com.bd/cmx-conference-system,N/A,CMX UHF-300BC Battery Charger
68bdd5b1c6bcae1a3cbeb3c0,https://www.startech.com.bd/cmx-clsk-10c-column-speaker,cmx-conference-system,Up Coming,https://www.startech.com.bd/cmx-conference-system,Up Coming,CMX CLSK-10C 10W Outdoor Column Speaker
68bdd5b1c6bcae1a3cbeb3c1,https://www.startech.com.bd/cmx-csk-610q-ceiling-speaker,cmx-conference-system,Out Of Stock,https://www.startech.com.bd/cmx-conference-system,Out Of Stock,"CMX CSK-610Q 6"" Coaxial Ceiling Speaker (3W-6W-10W)"
68bdd5b1c6bcae1a3cbeb3c2,https://www.startech.com.bd/cmx-ts-12-portable-pa-system,cmx-pa-system,Out Of Stock,https://www.startech.com.bd/cmx-pa-system,Out Of Stock,CMX TS-12 180W Portable PA System (2 Hand Mic)
68bdd5b1c6bcae1a3cbeb3c3,https://www.startech.com.bd/cmx-uhf-300du-uhf-wireless-delegate-unit,cmx-conference-system,Out Of Stock,https://www.startech.com.bd/cmx-conference-system,Out Of Stock,CMX UHF-300DU UHF Wireless Delegate Unit
68bdd5b1c6bcae1a3cbeb3c4,https://www.startech.com.bd/cmx-uhf-300cu-uhf-wireless-chairman-unit,cmx-conference-system,Out Of Stock,https://www.startech.com.bd/cmx-conference-system,Out Of Stock,CMX UHF-300CU UHF Wireless Chairman Unit
68bdd5b1c6bcae1a3cbeb3c5,https://www.startech.com.bd/cmx-uhf-300mc-wireless-conference-system-master-controller,cmx-conference-system,Out Of Stock,https://www.startech.com.bd/cmx-conference-system,Out Of Stock,CMX UHF-300MC UHF Wireless Conference System Master Controller
68bdd5b2c6bcae1a3cbeb3c6,https://www.startech.com.bd/cmx-csk-66e-ceiling-speaker,pa-system,"4,080৳",https://www.startech.com.bd/pa-system,N/A,"CMX CSK-66E 6"" Ceiling Speaker (1.5-3-6W)"
68bdd5b2c6bcae1a3cbeb3c7,https://www.startech.com.bd/cmx-wsk-610p-10w-wall-mount-speaker,pa-system,"4,440৳",https://www.startech.com.bd/pa-system,N/A,CMX WSK-610P 10W Wall Mount Speaker
68bdd5b2c6bcae1a3cbeb3c8,https://www.startech.com.bd/cmx-hsk-15t-outdoor-horn-speaker,pa-system,"5,520৳",https://www.startech.com.bd/pa-system,N/A,CMX HSK-15T 15W Outdoor Horn Speaker
68bdd5b2c6bcae1a3cbeb3c9,https://www.startech.com.bd/cmx-clsk-20c-column-speaker,pa-system,"6,300৳",https://www.startech.com.bd/pa-system,N/A,CMX CLSK-20C 20W Outdoor Column Speaker
68bdd5b2c6bcae1a3cbeb3ca,https://www.startech.com.bd/cmx-wsk-640c-wall-mount-speaker,pa-system,"9,000৳",https://www.startech.com.bd/pa-system,N/A,CMX WSK-640C 40W Wall Mount Speaker
68bdd5b2c6bcae1a3cbeb3cb,https://www.startech.com.bd/cmx-wm-u200c-uhf-wireless-microphone-system,pa-system,"28,800৳",https://www.startech.com.bd/pa-system,N/A,CMX WM-U200C UHF Wireless Microphone System
68bdd5b2c6bcae1a3cbeb3cc,https://www.startech.com.bd/colorful-battle-ax-b450m-k-m-2-v14-motherboard,component,"7,700৳ 8,000৳",https://www.startech.com.bd/component,N/A,Colorful BATTLE-AX B450M-K M.2 V14 AM4 mATX Motherboard
68bdd5b3c6bcae1a3cbeb3cd,https://www.startech.com.bd/colorful-battle-ax-b650m-e-pro-v14-motherboard,colorful-amd-motherboard,"12,299৳ 12,600৳",https://www.startech.com.bd/colorful-amd-motherboard,N/A,Colorful BATTLE-AX B650M-E PRO V14 AM5 mATX Motherboard
68bdd5b3c6bcae1a3cbeb3ce,https://www.startech.com.bd/colorful-battle-ax-b650m-plus-wifi-v15-motherboard,colorful-amd-motherboard,"16,999৳ 17,500৳",https://www.startech.com.bd/colorful-amd-motherboard,N/A,Colorful BATTLE-AX B650M-PLUS WIFI V15 AM5 mATX Motherboard
68bdd5b3c6bcae1a3cbeb3cf,https://www.startech.com.bd/colorful-cvn-b550m-gaming-frozen-v15-motherboard,colorful-amd-motherboard,Out Of Stock,https://www.startech.com.bd/colorful-amd-motherboard,Out Of Stock,Colorful CVN B550M GAMING FROZEN V15 AM4 mATX Motherboard
68bdd5b3c6bcae1a3cbeb3d0,https://www.startech.com.bd/colorful-battle-ax-b550m-t-pro-v14-motherboard,colorful-amd-motherboard,Out Of Stock,https://www.startech.com.bd/colorful-amd-motherboard,Out Of Stock,Colorful BATTLE-AX B550M-T PRO V14 AM4 mATX Motherboard
68bdd5b3c6bcae1a3cbeb3d1,https://www.startech.com.bd/colorful-geforce-gt710-2gd3-v-graphics-card,colorful-graphics-card,"4,900৳ 5,200৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful GeForce GT710-2GD3-V 2GB Graphics Card
68bdd5b3c6bcae1a3cbeb3d2,https://www.startech.com.bd/colorful-geforce-gt1030-v3-graphics-card,colorful-graphics-card,"9,300৳ 9,700৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful GeForce GT1030 V3 2GB Graphics Card
68bdd5b3c6bcae1a3cbeb3d3,https://www.startech.com.bd/colorful-geforce-rtx-3050-6gb-v-graphics-card,colorful-graphics-card,"24,900৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful GeForce RTX 3050 6GB-V GDDR6 Graphics Card
68bdd5b3c6bcae1a3cbeb3d4,https://www.startech.com.bd/colorful-geforce-rtx-3050-nb-duo-v2-v-8gb-graphic-card,colorful-graphics-card,"28,500৳ 29,000৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful GeForce RTX 3050 NB DUO V2-V 8GB GDDR6 Graphics Card
68bdd5b3c6bcae1a3cbeb3d5,https://www.startech.com.bd/colorful-geforce-rtx-3060-nb-duo-12g-v4-l-v-graphics-card,colorful-graphics-card,"39,500৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful GeForce RTX 3060 NB DUO 12G V4 L-V GDDR6 Graphics Card
68bdd5b3c6bcae1a3cbeb3d6,https://www.startech.com.bd/colorful-igame-geforce-rtx-5050-ultra-w-duo-oc-8gb-v-graphics-card,colorful-graphics-card,"39,900৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful iGame GeForce RTX 5050 Ultra W DUO OC 8GB-V GDDR6 Graphics Card
68bdd5b3c6bcae1a3cbeb3d7,https://www.startech.com.bd/colorful-igame-geforce-rtx-5060-ultra-w-duo-oc-8gb-v-graphics-card,colorful-graphics-card,"49,500৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful iGame GeForce RTX 5060 Ultra W DUO OC 8GB-V GDDR7 Graphics Card
68bdd5b4c6bcae1a3cbeb3d8,https://www.startech.com.bd/colorful-igame-geforce-rtx-5060-ultra-w-oc-8gb-v-graphics-card,colorful-graphics-card,"51,500৳ 52,500৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful iGame GeForce RTX 5060 Ultra W OC 8GB-V GDDR7 Graphics Card
68bdd5b4c6bcae1a3cbeb3d9,https://www.startech.com.bd/colorful-geforce-rtx-5060-ti-battle-ax-duo-8gb-v-graphics-card,colorful-graphics-card,"59,900৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful GeForce RTX 5060 Ti Battle AX DUO 8GB-V GDDR7 Graphics Card
68bdd5b4c6bcae1a3cbeb3da,https://www.startech.com.bd/colorful-igame-geforce-rtx-5060-ti-ultra-w-duo-oc-8gb-v-graphics-card,colorful-graphics-card,"59,800৳ 62,900৳",https://www.startech.com.bd/colorful-graphics-card,N/A,Colorful iGame GeForce RTX 5060 Ti Ultra W DUO OC 8GB-V GDDR7 Graphics Card
